book_imbalance,mid_price,timestamp
15200492.523558075,38001600.0,2022-05-22 02:27:48.810101
15200975.901985472,38002500.0,2022-05-22 02:27:53.771755
15201017.63239492,38002600.0,2022-05-22 02:27:58.725830
15200995.683261568,38002600.0,2022-05-22 02:28:03.681705
15200913.796866933,38002600.0,2022-05-22 02:28:08.639722
15207552.879266009,38017700.0,2022-05-22 02:28:13.599301
15207391.193224018,38017400.0,2022-05-22 02:28:18.569572
15206353.611857202,38014900.0,2022-05-22 02:28:23.526280
15206353.611857202,38014900.0,2022-05-22 02:28:28.490819
15206353.611857202,38014900.0,2022-05-22 02:28:33.450106
15203956.156979298,38010200.0,2022-05-22 02:28:38.470953
15204311.313858625,38010800.0,2022-05-22 02:28:43.439869
15204597.310617339,38011900.0,2022-05-22 02:28:48.400218
15204597.310617339,38011900.0,2022-05-22 02:28:53.359155
15205026.326335454,38012900.0,2022-05-22 02:28:58.319210
15204674.87624411,38011400.0,2022-05-22 02:29:03.276058
15205024.203457152,38012600.0,2022-05-22 02:29:08.234350
15205054.222493554,38013000.0,2022-05-22 02:29:13.389231
15205166.125365037,38013000.0,2022-05-22 02:29:18.347970
15205061.701528614,38013000.0,2022-05-22 02:29:23.306360
15205063.132044246,38013000.0,2022-05-22 02:29:28.441287
15205063.132044246,38013000.0,2022-05-22 02:29:33.400762
15205131.324824983,38013000.0,2022-05-22 02:29:38.359161
15205532.924792076,38013900.0,2022-05-22 02:29:43.316972
15205682.856472641,38014000.0,2022-05-22 02:29:48.283826
15204746.535480594,38011700.0,2022-05-22 02:29:53.244297
15204612.697879082,38011700.0,2022-05-22 02:29:58.202613
15205415.99288848,38013400.0,2022-05-22 02:30:03.161970
15204559.41502823,38012300.0,2022-05-22 02:30:08.316483
15204707.956646007,38012500.0,2022-05-22 02:30:13.283556
15205218.843836805,38013100.0,2022-05-22 02:30:18.241645
15205158.284991294,38013100.0,2022-05-22 02:30:23.197739
15205090.419475937,38013100.0,2022-05-22 02:30:28.159606
15205057.9105952,38013100.0,2022-05-22 02:30:33.126661
15205066.850527992,38013100.0,2022-05-22 02:30:38.086319
15204948.333775138,38012900.0,2022-05-22 02:30:43.045558
